,Platform,Year,Global_Sales
6896,2600,1980-01-01,0.24
2669,2600,1980-01-01,0.77
5366,2600,1980-01-01,0.34
1969,2600,1980-01-01,1.05
1766,2600,1980-01-01,1.15
6317,2600,1980-01-01,0.27
544,2600,1980-01-01,2.76
258,2600,1980-01-01,4.31
4025,2600,1980-01-01,0.49
4517,2600,1981-01-01,0.43
6866,2600,1981-01-01,0.24
5389,2600,1981-01-01,0.34
6940,2600,1981-01-01,0.24
6021,2600,1981-01-01,0.29
7148,2600,1981-01-01,0.22
239,2600,1981-01-01,4.5
2940,2600,1981-01-01,0.69
2806,2600,1981-01-01,0.73
2516,2600,1981-01-01,0.82
6537,2600,1981-01-01,0.26
4346,2600,1981-01-01,0.45
1965,2600,1981-01-01,1.05
7371,2600,1981-01-01,0.21
5400,2600,1981-01-01,0.34
7150,2600,1981-01-01,0.22
4402,2600,1981-01-01,0.45
4139,2600,1981-01-01,0.48
5246,2600,1981-01-01,0.36
2232,2600,1981-01-01,0.93
1556,2600,1981-01-01,1.27
2664,2600,1981-01-01,0.77
1306,2600,1981-01-01,1.46
3408,2600,1981-01-01,0.59
3403,2600,1981-01-01,0.59
5800,2600,1981-01-01,0.31
734,2600,1981-01-01,2.2
766,2600,1981-01-01,2.13
4967,2600,1981-01-01,0.39
1429,2600,1981-01-01,1.36
864,2600,1981-01-01,1.97
2596,2600,1981-01-01,0.79
5127,2600,1981-01-01,0.37
4908,2600,1981-01-01,0.39
9495,2600,1981-01-01,0.13
7184,2600,1981-01-01,0.22
8459,2600,1981-01-01,0.17
4784,2600,1981-01-01,0.4
7904,2600,1981-01-01,0.19
4015,2600,1981-01-01,0.5
1848,2600,1981-01-01,1.1
1153,2600,1981-01-01,1.6
1106,2600,1981-01-01,1.65
3044,2600,1981-01-01,0.67
5564,2600,1981-01-01,0.33
2143,2600,1981-01-01,0.97
5381,2600,1982-01-01,0.34
1851,2600,1982-01-01,1.1
3748,2600,1982-01-01,0.54
5064,2600,1982-01-01,0.38
3447,2600,1982-01-01,0.58
4016,2600,1982-01-01,0.5
1905,2600,1982-01-01,1.08
89,2600,1982-01-01,7.81
2660,2600,1982-01-01,0.77
2406,2600,1982-01-01,0.87
3215,2600,1982-01-01,0.63
4894,2600,1982-01-01,0.39
2843,2600,1982-01-01,0.72
1115,2600,1982-01-01,1.64
3266,2600,1982-01-01,0.62
3248,2600,1982-01-01,0.62
6265,2600,1982-01-01,0.27
5773,2600,1982-01-01,0.31
4013,2600,1982-01-01,0.5
2629,2600,1982-01-01,0.78
9106,2600,1982-01-01,0.14
8458,2600,1982-01-01,0.17
4801,2600,1982-01-01,0.4
7149,2600,1982-01-01,0.22
3079,2600,1982-01-01,0.66
6145,2600,1982-01-01,0.28
1163,2600,1982-01-01,1.59
1817,2600,1982-01-01,1.12
5395,2600,1982-01-01,0.34
3966,2600,1982-01-01,0.5
3643,2600,1982-01-01,0.55
8758,2600,1982-01-01,0.15
5658,2600,1982-01-01,0.32
1705,2600,1982-01-01,1.18
6728,2600,1982-01-01,0.25
3716,2600,1982-01-01,0.54
5382,2600,1983-01-01,0.34
1809,NES,1983-01-01,1.13
8457,2600,1983-01-01,0.17
5559,2600,1983-01-01,0.33
763,NES,1983-01-01,2.14
4267,2600,1983-01-01,0.46
421,NES,1983-01-01,3.2
1839,NES,1983-01-01,1.11
700,NES,1983-01-01,2.28
2672,2600,1983-01-01,0.77
1508,2600,1983-01-01,1.31
6007,2600,1983-01-01,0.29
4096,2600,1983-01-01,0.48
4780,2600,1983-01-01,0.4
3953,2600,1983-01-01,0.5
2652,2600,1983-01-01,0.78
1861,NES,1983-01-01,1.1
754,NES,1984-01-01,2.17
1857,NES,1984-01-01,1.1
277,NES,1984-01-01,4.16
1638,NES,1984-01-01,1.22
6296,2600,1984-01-01,0.27
1560,NES,1984-01-01,1.27
298,NES,1984-01-01,4.01
2513,NES,1984-01-01,0.82
9,NES,1984-01-01,28.31
1233,NES,1984-01-01,1.52
938,NES,1984-01-01,1.85
2955,NES,1984-01-01,0.69
1234,NES,1984-01-01,1.52
1324,NES,1984-01-01,1.45
1973,NES,1985-01-01,1.05
868,NES,1985-01-01,1.96
2259,NES,1985-01-01,0.92
1490,NES,1985-01-01,1.32
3907,NES,1985-01-01,0.51
1,NES,1985-01-01,40.24
374,NES,1985-01-01,3.5
2020,NES,1985-01-01,1.03
14335,PC,1985-01-01,0.03
1260,NES,1985-01-01,1.5
4337,2600,1985-01-01,0.45
15867,DS,1985-01-01,0.02
2059,NES,1985-01-01,1.0
4727,NES,1985-01-01,0.41
5956,2600,1986-01-01,0.29
548,NES,1986-01-01,2.73
611,NES,1986-01-01,2.52
1623,NES,1986-01-01,1.23
573,NES,1986-01-01,2.65
737,NES,1986-01-01,2.2
5082,2600,1986-01-01,0.37
1791,NES,1986-01-01,1.14
452,NES,1986-01-01,3.08
1262,NES,1986-01-01,1.5
1117,NES,1986-01-01,1.64
1772,NES,1986-01-01,1.15
867,NES,1986-01-01,1.96
127,NES,1986-01-01,6.51
1675,NES,1986-01-01,1.2
992,NES,1986-01-01,1.76
1676,NES,1986-01-01,1.2
1427,NES,1986-01-01,1.36
1971,NES,1986-01-01,1.05
2158,NES,1986-01-01,0.96
3532,NES,1986-01-01,0.57
251,NES,1987-01-01,4.38
602,NES,1987-01-01,2.56
2466,NES,1987-01-01,0.84
1588,NES,1987-01-01,1.25
2547,NES,1987-01-01,0.81
6583,2600,1987-01-01,0.26
465,NES,1987-01-01,3.02
11716,2600,1987-01-01,0.08
2234,NES,1987-01-01,0.93
647,NES,1987-01-01,2.4
11749,2600,1987-01-01,0.07
3118,2600,1987-01-01,0.65
4393,2600,1987-01-01,0.45
759,NES,1987-01-01,2.15
1361,NES,1987-01-01,1.42
4194,2600,1987-01-01,0.47
764,NES,1988-01-01,2.14
22,NES,1988-01-01,17.28
1187,NES,1988-01-01,1.56
155,NES,1988-01-01,5.58
96,NES,1988-01-01,7.46
1350,GB,1988-01-01,1.43
6939,2600,1988-01-01,0.24
1587,NES,1988-01-01,1.25
1246,NES,1988-01-01,1.51
14507,PC,1988-01-01,0.03
638,NES,1988-01-01,2.42
312,NES,1988-01-01,3.87
1708,NES,1988-01-01,1.18
3940,2600,1988-01-01,0.51
2704,NES,1988-01-01,0.76
775,GB,1989-01-01,2.12
5,GB,1989-01-01,30.26
1859,NES,1989-01-01,1.1
880,GB,1989-01-01,1.94
1858,GB,1989-01-01,1.1
1678,GB,1989-01-01,1.2
852,GB,1989-01-01,1.99
8757,2600,1989-01-01,0.15
12636,NES,1989-01-01,0.06
170,GB,1989-01-01,5.34
276,NES,1989-01-01,4.17
21,GB,1989-01-01,18.14
4147,2600,1989-01-01,0.47
1142,GB,1989-01-01,1.61
1542,GB,1989-01-01,1.28
2439,NES,1989-01-01,0.85
1089,NES,1989-01-01,1.67
446,NES,1990-01-01,3.12
1770,GB,1990-01-01,1.15
1278,NES,1990-01-01,1.48
1726,NES,1990-01-01,1.17
1385,NES,1990-01-01,1.4
5493,GB,1990-01-01,0.33
509,SNES,1990-01-01,2.85
215,NES,1990-01-01,4.85
391,GB,1990-01-01,3.41
5862,NES,1990-01-01,0.3
1792,SNES,1990-01-01,1.14
18,SNES,1990-01-01,20.61
1190,SNES,1990-01-01,1.56
588,GEN,1990-01-01,2.6
722,NES,1990-01-01,2.23
1695,NES,1990-01-01,1.19
5541,SNES,1991-01-01,0.33
6155,GB,1991-01-01,0.28
11980,SNES,1991-01-01,0.07
6623,SNES,1991-01-01,0.25
8834,SNES,1991-01-01,0.15
5517,SNES,1991-01-01,0.33
254,GEN,1991-01-01,4.34
12670,GB,1991-01-01,0.06
8575,SNES,1991-01-01,0.16
1108,SNES,1991-01-01,1.65
1794,GB,1991-01-01,1.14
13018,SNES,1991-01-01,0.05
6053,SNES,1991-01-01,0.29
4583,SNES,1991-01-01,0.42
231,SNES,1991-01-01,4.61
4097,SNES,1991-01-01,0.48
8037,GB,1991-01-01,0.18
5033,GB,1991-01-01,0.38
8085,SNES,1991-01-01,0.18
1008,NES,1991-01-01,1.75
7094,SNES,1991-01-01,0.23
4451,NES,1991-01-01,0.44
2233,NES,1991-01-01,0.93
7688,SNES,1991-01-01,0.2
2727,GB,1991-01-01,0.76
4981,SNES,1991-01-01,0.38
9958,SNES,1991-01-01,0.12
11330,SNES,1991-01-01,0.08
983,SNES,1991-01-01,1.77
3204,SNES,1991-01-01,0.63
2061,NES,1991-01-01,1.0
6165,SNES,1991-01-01,0.28
5651,NES,1991-01-01,0.32
987,GB,1991-01-01,1.76
855,SNES,1991-01-01,1.98
1394,NES,1991-01-01,1.39
6164,GB,1991-01-01,0.28
4944,SNES,1991-01-01,0.39
2798,GB,1991-01-01,0.73
6161,NES,1991-01-01,0.28
1716,SNES,1991-01-01,1.18
6088,SNES,1992-01-01,0.29
12062,SNES,1992-01-01,0.07
743,GB,1992-01-01,2.19
765,PC,1992-01-01,2.14
318,GB,1992-01-01,3.83
9796,GEN,1992-01-01,0.12
8529,SNES,1992-01-01,0.16
827,GEN,1992-01-01,2.05
4952,SNES,1992-01-01,0.39
1827,NES,1992-01-01,1.12
6226,SNES,1992-01-01,0.28
9442,SNES,1992-01-01,0.13
12526,PC,1992-01-01,0.06
3544,SNES,1992-01-01,0.57
531,SNES,1992-01-01,2.79
545,SNES,1992-01-01,2.75
1657,SNES,1992-01-01,1.21
11985,NES,1992-01-01,0.07
3481,SNES,1992-01-01,0.58
1099,GEN,1992-01-01,1.66
1608,GB,1992-01-01,1.24
629,SNES,1992-01-01,2.45
14599,PC,1992-01-01,0.03
9561,GEN,1992-01-01,0.13
2633,PC,1992-01-01,0.78
1076,GB,1992-01-01,1.68
13525,GG,1992-01-01,0.04
4240,SNES,1992-01-01,0.46
6198,SNES,1992-01-01,0.28
2610,NES,1992-01-01,0.79
12700,SNES,1992-01-01,0.06
564,GEN,1992-01-01,2.67
7185,SNES,1992-01-01,0.22
285,SNES,1992-01-01,4.1
8617,SNES,1992-01-01,0.16
2142,SNES,1992-01-01,0.97
7065,GB,1992-01-01,0.23
136,SNES,1992-01-01,6.3
143,GEN,1992-01-01,6.03
16073,PC,1992-01-01,0.01
191,GB,1992-01-01,5.13
50,GB,1992-01-01,11.18
76,SNES,1992-01-01,8.76
1777,SNES,1993-01-01,1.15
3236,SNES,1993-01-01,0.62
9461,SNES,1993-01-01,0.13
12945,GEN,1993-01-01,0.05
11127,SNES,1993-01-01,0.09
1674,SNES,1993-01-01,1.2
12084,NG,1993-01-01,0.07
5666,SNES,1993-01-01,0.32
3844,NES,1993-01-01,0.52
8424,SNES,1993-01-01,0.17
5799,SNES,1993-01-01,0.31
2651,SNES,1993-01-01,0.78
8067,SNES,1993-01-01,0.18
2956,SNES,1993-01-01,0.69
4041,SNES,1993-01-01,0.49
13147,SNES,1993-01-01,0.05
12927,SNES,1993-01-01,0.05
12652,SNES,1993-01-01,0.06
1325,SNES,1993-01-01,1.45
1054,SNES,1993-01-01,1.7
4363,SNES,1993-01-01,0.45
4242,SNES,1993-01-01,0.46
7929,SNES,1993-01-01,0.19
5291,SNES,1993-01-01,0.35
9929,SNES,1993-01-01,0.12
11951,GEN,1993-01-01,0.07
13311,GEN,1993-01-01,0.05
2111,NES,1993-01-01,0.98
1751,SNES,1993-01-01,1.16
887,SNES,1993-01-01,1.93
8908,GEN,1993-01-01,0.15
9196,NG,1993-01-01,0.14
1261,SCD,1993-01-01,1.5
12956,SNES,1993-01-01,0.05
6306,SNES,1993-01-01,0.27
2795,SNES,1993-01-01,0.73
472,SNES,1993-01-01,2.99
5174,SNES,1993-01-01,0.36
3782,SNES,1993-01-01,0.53
7301,SNES,1993-01-01,0.22
5204,NES,1993-01-01,0.36
3780,SNES,1993-01-01,0.53
3591,SNES,1993-01-01,0.56
12231,GEN,1993-01-01,0.07
948,SNES,1993-01-01,1.83
12109,SNES,1993-01-01,0.07
2592,SNES,1993-01-01,0.8
57,SNES,1993-01-01,10.55
16105,SNES,1993-01-01,0.01
7769,SNES,1993-01-01,0.19
12289,SNES,1993-01-01,0.06
2033,SNES,1993-01-01,1.02
849,SNES,1993-01-01,2.0
1009,SNES,1993-01-01,1.75
1729,SNES,1993-01-01,1.17
12065,GEN,1993-01-01,0.07
1010,NES,1993-01-01,1.75
10259,SNES,1993-01-01,0.11
10331,SNES,1993-01-01,0.11
7910,GEN,1993-01-01,0.19
11670,SNES,1994-01-01,0.08
13716,SAT,1994-01-01,0.04
12971,SCD,1994-01-01,0.05
968,SNES,1994-01-01,1.79
6002,SNES,1994-01-01,0.29
5672,SNES,1994-01-01,0.32
71,SNES,1994-01-01,9.3
3609,SNES,1994-01-01,0.56
11751,SCD,1994-01-01,0.07
10089,PS,1994-01-01,0.11
5101,PS,1994-01-01,0.37
12538,SAT,1994-01-01,0.06
11738,SAT,1994-01-01,0.07
11087,SAT,1994-01-01,0.09
14661,SNES,1994-01-01,0.03
15999,PC,1994-01-01,0.01
2534,SNES,1994-01-01,0.81
2537,SNES,1994-01-01,0.81
5217,SNES,1994-01-01,0.36
5494,SNES,1994-01-01,0.33
1221,SNES,1994-01-01,1.53
2938,SNES,1994-01-01,0.7
6473,GEN,1994-01-01,0.26
2550,SNES,1994-01-01,0.81
10036,PS,1994-01-01,0.11
521,PC,1994-01-01,2.81
13141,SNES,1994-01-01,0.05
991,GEN,1994-01-01,1.76
4388,PS,1994-01-01,0.45
3505,PS,1994-01-01,0.57
11882,SNES,1994-01-01,0.07
4767,SNES,1994-01-01,0.41
6368,SNES,1994-01-01,0.27
1360,SNES,1994-01-01,1.42
8124,SAT,1994-01-01,0.18
5014,PS,1994-01-01,0.38
4522,SNES,1994-01-01,0.43
9844,SNES,1994-01-01,0.12
14093,GEN,1994-01-01,0.04
5817,SNES,1994-01-01,0.31
1372,GEN,1994-01-01,1.41
1458,GEN,1994-01-01,1.34
12263,PS,1994-01-01,0.06
13971,SAT,1994-01-01,0.04
7647,SAT,1994-01-01,0.2
2289,SNES,1994-01-01,0.91
14898,SNES,1994-01-01,0.03
14996,3DO,1994-01-01,0.02
11439,PS,1994-01-01,0.08
10672,PS,1994-01-01,0.1
7045,NG,1994-01-01,0.23
4960,SNES,1994-01-01,0.39
5868,SAT,1994-01-01,0.3
6308,SNES,1994-01-01,0.27
806,PC,1994-01-01,2.08
14034,GEN,1994-01-01,0.04
5881,SNES,1994-01-01,0.3
9899,SAT,1994-01-01,0.12
9985,SAT,1994-01-01,0.12
13243,SAT,1994-01-01,0.05
11541,GEN,1994-01-01,0.08
2906,SNES,1994-01-01,0.7
952,GEN,1994-01-01,1.82
14230,SNES,1994-01-01,0.03
14218,SNES,1994-01-01,0.03
11640,GEN,1994-01-01,0.08
2601,PS,1994-01-01,0.79
15256,SAT,1994-01-01,0.02
15255,SNES,1994-01-01,0.02
184,GB,1994-01-01,5.19
1567,PS,1994-01-01,1.27
5252,SNES,1994-01-01,0.36
653,PC,1994-01-01,2.39
6229,SAT,1994-01-01,0.28
2634,PS,1994-01-01,0.78
8639,SNES,1994-01-01,0.16
11281,SAT,1994-01-01,0.08
3435,SNES,1994-01-01,0.59
12351,SAT,1994-01-01,0.06
9919,SNES,1994-01-01,0.12
10354,PS,1994-01-01,0.11
7535,SNES,1994-01-01,0.2
9717,NG,1994-01-01,0.12
12078,PS,1994-01-01,0.07
7553,NG,1994-01-01,0.2
8100,SNES,1994-01-01,0.18
874,PC,1994-01-01,1.95
5115,SNES,1994-01-01,0.37
1393,SNES,1994-01-01,1.39
9004,GEN,1994-01-01,0.14
12570,SCD,1994-01-01,0.06
7962,SNES,1994-01-01,0.19
12761,SAT,1994-01-01,0.06
1841,GEN,1994-01-01,1.11
6631,SAT,1994-01-01,0.25
6117,SNES,1994-01-01,0.28
6641,PS,1994-01-01,0.25
2379,SNES,1994-01-01,0.87
13452,SCD,1994-01-01,0.05
3636,SAT,1994-01-01,0.55
14416,GEN,1994-01-01,0.03
10309,NES,1994-01-01,0.11
3812,SNES,1994-01-01,0.53
5533,PS,1994-01-01,0.33
7947,PS,1994-01-01,0.19
5142,SNES,1994-01-01,0.37
389,SNES,1994-01-01,3.42
4815,SNES,1994-01-01,0.4
5166,SNES,1994-01-01,0.36
3781,SNES,1994-01-01,0.53
305,GB,1994-01-01,3.91
6681,NG,1994-01-01,0.25
15687,SNES,1994-01-01,0.02
4293,SNES,1994-01-01,0.46
1923,SAT,1994-01-01,1.07
11835,SNES,1994-01-01,0.07
455,GB,1994-01-01,3.07
5147,SNES,1994-01-01,0.37
9014,SCD,1994-01-01,0.14
353,PC,1994-01-01,3.61
5173,SNES,1994-01-01,0.36
670,GB,1995-01-01,2.36
14807,SNES,1995-01-01,0.03
13088,PS,1995-01-01,0.05
12075,PS,1995-01-01,0.07
6399,PS,1995-01-01,0.27
14523,PS,1995-01-01,0.03
12346,PS,1995-01-01,0.06
1521,SNES,1995-01-01,1.3
888,SAT,1995-01-01,1.93
9536,PS,1995-01-01,0.13
1840,PS,1995-01-01,1.11
13891,PS,1995-01-01,0.04
2302,PS,1995-01-01,0.9
13255,SNES,1995-01-01,0.05
10897,SAT,1995-01-01,0.09
267,PC,1995-01-01,4.21
688,SNES,1995-01-01,2.31
11047,SNES,1995-01-01,0.09
7498,NG,1995-01-01,0.2
12355,PS,1995-01-01,0.06
10495,PS,1995-01-01,0.1
2890,PS,1995-01-01,0.71
2887,SNES,1995-01-01,0.71
13802,PS,1995-01-01,0.04
5972,SAT,1995-01-01,0.29
9162,PS,1995-01-01,0.14
5745,SAT,1995-01-01,0.31
12385,SNES,1995-01-01,0.06
7464,SAT,1995-01-01,0.21
5245,PS,1995-01-01,0.36
11619,SAT,1995-01-01,0.08
11254,SAT,1995-01-01,0.08
8625,PS,1995-01-01,0.16
4874,SNES,1995-01-01,0.4
9365,PS,1995-01-01,0.13
13270,PS,1995-01-01,0.05
14787,PS,1995-01-01,0.03
9546,SNES,1995-01-01,0.13
12635,3DO,1995-01-01,0.06
11269,SAT,1995-01-01,0.08
6413,SNES,1995-01-01,0.27
12919,PS,1995-01-01,0.05
10352,PS,1995-01-01,0.11
5569,PS,1995-01-01,0.33
2446,PS,1995-01-01,0.85
10905,PS,1995-01-01,0.09
3443,PS,1995-01-01,0.58
1554,PS,1995-01-01,1.27
7512,SNES,1995-01-01,0.2
11585,PS,1995-01-01,0.08
7021,SAT,1995-01-01,0.23
10875,PS,1995-01-01,0.09
5920,SNES,1995-01-01,0.3
10862,SNES,1995-01-01,0.09
13458,PS,1995-01-01,0.04
10384,SAT,1995-01-01,0.11
317,PS,1995-01-01,3.84
12125,PS,1995-01-01,0.07
13222,PS,1995-01-01,0.05
13219,SNES,1995-01-01,0.05
13218,SNES,1995-01-01,0.05
6922,PS,1995-01-01,0.24
5842,PS,1995-01-01,0.3
10537,PS,1995-01-01,0.1
9241,PS,1995-01-01,0.14
14512,SNES,1995-01-01,0.03
11874,PS,1995-01-01,0.07
5828,GB,1995-01-01,0.3
11440,PS,1995-01-01,0.08
5854,SAT,1995-01-01,0.3
14904,PS,1995-01-01,0.03
11505,NG,1995-01-01,0.08
6784,PS,1995-01-01,0.24
9256,PS,1995-01-01,0.14
9257,SAT,1995-01-01,0.14
2046,SNES,1995-01-01,1.01
10378,PS,1995-01-01,0.11
14502,SNES,1995-01-01,0.03
3271,GB,1995-01-01,0.62
14927,SAT,1995-01-01,0.02
4765,SNES,1995-01-01,0.41
9765,SAT,1995-01-01,0.12
8987,PS,1995-01-01,0.15
10512,PS,1995-01-01,0.1
2068,PS,1995-01-01,1.0
8235,PS,1995-01-01,0.17
12723,PS,1995-01-01,0.06
8980,SAT,1995-01-01,0.15
8514,PS,1995-01-01,0.16
3237,SAT,1995-01-01,0.62
7920,PS,1995-01-01,0.19
7681,PS,1995-01-01,0.2
10684,SNES,1995-01-01,0.1
10404,PS,1995-01-01,0.11
6363,SNES,1995-01-01,0.27
12903,SNES,1995-01-01,0.05
6803,PS,1995-01-01,0.24
11355,PS,1995-01-01,0.08
3372,SNES,1995-01-01,0.6
5289,SNES,1995-01-01,0.35
6260,SNES,1995-01-01,0.28
9223,TG16,1995-01-01,0.14
11529,PS,1995-01-01,0.08
5009,SAT,1995-01-01,0.38
12107,SAT,1995-01-01,0.07
8667,PS,1995-01-01,0.16
3352,PS,1995-01-01,0.6
10680,SAT,1995-01-01,0.1
16554,PS,1995-01-01,0.01
8564,SNES,1995-01-01,0.16
2694,PS,1995-01-01,0.76
4205,SNES,1995-01-01,0.47
13469,SAT,1995-01-01,0.04
9207,PS,1995-01-01,0.14
13235,SAT,1995-01-01,0.05
282,SNES,1995-01-01,4.12
5908,SNES,1995-01-01,0.3
11528,PS,1995-01-01,0.08
2376,PS,1995-01-01,0.87
13837,SAT,1995-01-01,0.04
4634,SNES,1995-01-01,0.42
12792,SAT,1995-01-01,0.06
426,SNES,1995-01-01,3.19
1188,PS,1995-01-01,1.56
10142,SAT,1995-01-01,0.11
422,SNES,1995-01-01,3.2
3985,PS,1995-01-01,0.5
13545,SNES,1995-01-01,0.04
12799,PS,1995-01-01,0.06
14691,SAT,1995-01-01,0.03
415,PS,1995-01-01,3.24
8392,PS,1995-01-01,0.17
4373,PS,1995-01-01,0.45
5048,SNES,1995-01-01,0.38
4379,PS,1995-01-01,0.45
11794,PS,1995-01-01,0.07
10746,SNES,1995-01-01,0.1
7385,SNES,1995-01-01,0.21
10416,PS,1995-01-01,0.11
12760,SNES,1995-01-01,0.06
12592,SAT,1995-01-01,0.06
1934,PS,1995-01-01,1.07
9640,SAT,1995-01-01,0.13
7837,SAT,1995-01-01,0.19
11677,SAT,1995-01-01,0.08
3520,PS,1995-01-01,0.57
10970,PS,1995-01-01,0.09
10004,SAT,1995-01-01,0.11
4670,SAT,1995-01-01,0.42
3678,PS,1995-01-01,0.55
10336,PS,1995-01-01,0.11
10588,SAT,1995-01-01,0.1
15479,3DO,1995-01-01,0.02
7294,SAT,1995-01-01,0.22
1753,SAT,1995-01-01,1.16
15553,NG,1995-01-01,0.02
9605,PS,1995-01-01,0.13
462,PS,1995-01-01,3.03
4160,SNES,1995-01-01,0.47
4322,SNES,1995-01-01,0.45
15535,TG16,1995-01-01,0.02
8852,SAT,1995-01-01,0.15
5640,PS,1995-01-01,0.32
14337,SAT,1995-01-01,0.03
5116,SAT,1995-01-01,0.37
11059,SAT,1995-01-01,0.09
4821,SAT,1995-01-01,0.4
5645,SAT,1995-01-01,0.32
13704,PS,1995-01-01,0.04
13331,PS,1995-01-01,0.05
11063,PS,1995-01-01,0.09
15975,PC,1995-01-01,0.02
11740,PS,1995-01-01,0.07
12585,PS,1995-01-01,0.06
4699,SAT,1995-01-01,0.41
5393,SAT,1995-01-01,0.34
4303,PS,1995-01-01,0.46
13121,SNES,1995-01-01,0.05
6139,SAT,1995-01-01,0.28
5632,GB,1995-01-01,0.32
6714,PS,1995-01-01,0.25
1771,SNES,1995-01-01,1.15
4074,SNES,1995-01-01,0.49
9460,PS,1995-01-01,0.13
2353,SNES,1995-01-01,0.89
11675,PS,1995-01-01,0.08
10420,SNES,1995-01-01,0.1
15314,PS,1995-01-01,0.02
5714,SNES,1995-01-01,0.31
8352,PS,1995-01-01,0.17
9669,SAT,1995-01-01,0.12
13089,SAT,1995-01-01,0.05
13735,SNES,1995-01-01,0.04
14741,SAT,1995-01-01,0.03
5707,PS,1995-01-01,0.31
4855,SNES,1995-01-01,0.4
9978,PS,1995-01-01,0.12
13169,SAT,1995-01-01,0.05
8460,SAT,1995-01-01,0.17
8875,SNES,1995-01-01,0.15
950,PS,1995-01-01,1.83
12439,SAT,1995-01-01,0.06
14756,PS,1995-01-01,0.03
14226,PS,1995-01-01,0.03
6115,SNES,1995-01-01,0.28
6192,SNES,1995-01-01,0.28
6196,PS,1995-01-01,0.28
11237,PS,1995-01-01,0.09
11812,SAT,1995-01-01,0.07
7102,PS,1995-01-01,0.23
14566,SNES,1995-01-01,0.03
9468,PS,1995-01-01,0.13
7952,SAT,1995-01-01,0.19
4165,PS,1995-01-01,0.47
187,SNES,1995-01-01,5.15
5372,SAT,1995-01-01,0.34
13722,SNES,1995-01-01,0.04
10408,SNES,1995-01-01,0.11
14429,NG,1995-01-01,0.03
1020,N64,1996-01-01,1.74
6076,PS,1996-01-01,0.29
14216,PS,1996-01-01,0.03
1159,PC,1996-01-01,1.59
9309,PS,1996-01-01,0.14
1216,PS,1996-01-01,1.54
11769,PS,1996-01-01,0.07
7046,PS,1996-01-01,0.23
7877,PS,1996-01-01,0.19
14356,SNES,1996-01-01,0.03
12060,PS,1996-01-01,0.07
3015,PS,1996-01-01,0.67
5904,SAT,1996-01-01,0.3
16226,PS,1996-01-01,0.01
2269,PS,1996-01-01,0.92
4716,PS,1996-01-01,0.41
3275,SNES,1996-01-01,0.62
14779,PS,1996-01-01,0.03
13171,PS,1996-01-01,0.05
4711,SAT,1996-01-01,0.41
1161,PS,1996-01-01,1.59
9693,SAT,1996-01-01,0.12
9751,SAT,1996-01-01,0.12
11638,SNES,1996-01-01,0.08
8697,PS,1996-01-01,0.16
8759,SAT,1996-01-01,0.15
14355,PS,1996-01-01,0.03
9606,PS,1996-01-01,0.13
3274,SAT,1996-01-01,0.62
14190,PS,1996-01-01,0.03
1323,GB,1996-01-01,1.45
2181,PS,1996-01-01,0.95
8810,SNES,1996-01-01,0.15
4864,PS,1996-01-01,0.4
6046,PS,1996-01-01,0.29
14902,PS,1996-01-01,0.03
7644,SNES,1996-01-01,0.2
11624,PS,1996-01-01,0.08
1382,PS,1996-01-01,1.4
9508,SAT,1996-01-01,0.13
5272,GB,1996-01-01,0.35
10606,SAT,1996-01-01,0.1
6300,PS,1996-01-01,0.27
7823,SNES,1996-01-01,0.19
13144,PS,1996-01-01,0.05
7859,N64,1996-01-01,0.19
4002,SNES,1996-01-01,0.5
14518,PS,1996-01-01,0.03
6253,SAT,1996-01-01,0.28
14592,PS,1996-01-01,0.03
7757,SNES,1996-01-01,0.19
16373,PS,1996-01-01,0.01
12007,PS,1996-01-01,0.07
14556,PCFX,1996-01-01,0.03
7863,N64,1996-01-01,0.19
1232,PS,1996-01-01,1.52
5338,SAT,1996-01-01,0.35
1336,SNES,1996-01-01,1.44
2832,PS,1996-01-01,0.72
2256,PS,1996-01-01,0.92
7022,SAT,1996-01-01,0.23
8089,PS,1996-01-01,0.18
4007,PS,1996-01-01,0.5
7957,PS,1996-01-01,0.19
11840,PS,1996-01-01,0.07
7790,N64,1996-01-01,0.19
2200,PS,1996-01-01,0.94
2071,PS,1996-01-01,1.0
4753,PS,1996-01-01,0.41
6270,PS,1996-01-01,0.27
3240,PS,1996-01-01,0.62
900,PS,1996-01-01,1.92
14874,PS,1996-01-01,0.03
46,N64,1996-01-01,11.89
6051,PS,1996-01-01,0.29
7827,PS,1996-01-01,0.19
946,PS,1996-01-01,1.83
5995,SAT,1996-01-01,0.29
8717,PS,1996-01-01,0.15
14475,PS,1996-01-01,0.03
5909,PS,1996-01-01,0.3
6096,PS,1996-01-01,0.29
7745,PS,1996-01-01,0.19
8712,PS,1996-01-01,0.16
14317,SAT,1996-01-01,0.03
63,N64,1996-01-01,9.87
10583,PS,1996-01-01,0.1
2157,N64,1996-01-01,0.96
9673,PS,1996-01-01,0.12
3915,PS,1996-01-01,0.51
14245,PS,1996-01-01,0.03
7655,PS,1996-01-01,0.2
14858,SAT,1996-01-01,0.03
11957,PS,1996-01-01,0.07
5432,PS,1996-01-01,0.34
7797,PS,1996-01-01,0.19
116,PS,1996-01-01,6.82
7784,SNES,1996-01-01,0.19
1499,PS,1996-01-01,1.31
13715,SAT,1996-01-01,0.04
6698,PS,1996-01-01,0.25
4431,PS,1996-01-01,0.44
6458,PS,1996-01-01,0.26
