,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2020
2600,11.38,47.15,76.01,81.84,82.11,82.56,83.22,85.2,85.95,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001,86.57000000000001
NES,0.0,0.0,0.0,10.96,61.05000000000001,114.49000000000001,150.9,170.66,215.67,223.51999999999998,239.26,245.37,247.35,250.96,251.07000000000002,251.07000000000002,251.07000000000002,251.07000000000002,251.07000000000002,251.07000000000002,251.07000000000002,251.07000000000002,251.07000000000002,251.07000000000002,251.07000000000002,251.07000000000002,251.07000000000002,251.07000000000002,251.07000000000002,251.07000000000002,251.07000000000002,251.07000000000002,251.07000000000002,251.07000000000002,251.07000000000002,251.07000000000002,251.07000000000002,251.07000000000002,251.07000000000002
PC,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.06,0.06,0.06,0.06,3.0799999999999996,3.0799999999999996,15.93,20.16,30.75,42.01,45.29,50.04,54.72,60.23,68.83,77.78999999999999,88.24999999999999,92.71999999999998,95.68999999999998,105.08999999999997,117.75999999999996,134.91999999999996,159.37999999999994,194.62999999999994,218.15999999999994,230.98999999999992,244.3799999999999,252.4499999999999,255.0499999999999,255.0499999999999,255.0499999999999
DS,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,17.479999999999997,148.87999999999994,270.0299999999999,419.39,567.2800000000001,689.2700000000001,777.25,805.05,816.6899999999999,818.65,818.67,818.67,818.67,818.67,818.9599999999999
GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,66.41000000000001,71.30000000000001,76.87,102.35000000000001,102.35000000000001,114.52000000000001,118.12,154.14000000000001,160.51000000000002,187.41000000000003,225.42000000000002,245.18,254.42000000000002,254.42000000000002,254.42000000000002,254.42000000000002,254.42000000000002,254.42000000000002,254.42000000000002,254.42000000000002,254.42000000000002,254.42000000000002,254.42000000000002,254.42000000000002,254.42000000000002,254.42000000000002,254.42000000000002,254.42000000000002,254.42000000000002,254.42000000000002
SNES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.16,42.370000000000005,75.35000000000001,115.36000000000001,150.44000000000003,182.65000000000003,198.58000000000004,199.57000000000005,199.79000000000005,200.05000000000004,200.05000000000004,200.05000000000004,200.05000000000004,200.05000000000004,200.05000000000004,200.05000000000004,200.05000000000004,200.05000000000004,200.05000000000004,200.05000000000004,200.05000000000004,200.05000000000004,200.05000000000004,200.05000000000004,200.05000000000004,200.05000000000004,200.05000000000004,200.05000000000004,200.05000000000004
GEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,6.9399999999999995,19.6,20.25,28.36,28.36,28.36,28.36,28.36,28.36,28.36,28.36,28.36,28.36,28.36,28.36,28.36,28.36,28.36,28.36,28.36,28.36,28.36,28.36,28.36,28.36,28.36,28.36,28.36
GG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
NG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21000000000000002,1.01,1.34,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002
SCD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87
SAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6400000000000006,15.219999999999999,22.909999999999997,29.679999999999996,33.49999999999999,33.589999999999996,33.589999999999996,33.589999999999996,33.589999999999996,33.589999999999996,33.589999999999996,33.589999999999996,33.589999999999996,33.589999999999996,33.589999999999996,33.589999999999996,33.589999999999996,33.589999999999996,33.589999999999996,33.589999999999996,33.589999999999996,33.589999999999996,33.589999999999996,33.589999999999996,33.589999999999996
