,Brand,Year,Global_Sales
6896,Atari,1980-01-01,0.24
2669,Atari,1980-01-01,0.77
5366,Atari,1980-01-01,0.34
1969,Atari,1980-01-01,1.05
1766,Atari,1980-01-01,1.15
6317,Atari,1980-01-01,0.27
544,Atari,1980-01-01,2.76
258,Atari,1980-01-01,4.31
4025,Atari,1980-01-01,0.49
4517,Atari,1981-01-01,0.43
6866,Atari,1981-01-01,0.24
5389,Atari,1981-01-01,0.34
6940,Atari,1981-01-01,0.24
6021,Atari,1981-01-01,0.29
7148,Atari,1981-01-01,0.22
239,Atari,1981-01-01,4.5
2940,Atari,1981-01-01,0.69
2806,Atari,1981-01-01,0.73
2516,Atari,1981-01-01,0.82
6537,Atari,1981-01-01,0.26
4346,Atari,1981-01-01,0.45
1965,Atari,1981-01-01,1.05
7371,Atari,1981-01-01,0.21
5400,Atari,1981-01-01,0.34
7150,Atari,1981-01-01,0.22
4402,Atari,1981-01-01,0.45
4139,Atari,1981-01-01,0.48
5246,Atari,1981-01-01,0.36
2232,Atari,1981-01-01,0.93
1556,Atari,1981-01-01,1.27
2664,Atari,1981-01-01,0.77
1306,Atari,1981-01-01,1.46
3408,Atari,1981-01-01,0.59
3403,Atari,1981-01-01,0.59
5800,Atari,1981-01-01,0.31
734,Atari,1981-01-01,2.2
766,Atari,1981-01-01,2.13
4967,Atari,1981-01-01,0.39
1429,Atari,1981-01-01,1.36
864,Atari,1981-01-01,1.97
2596,Atari,1981-01-01,0.79
5127,Atari,1981-01-01,0.37
4908,Atari,1981-01-01,0.39
9495,Atari,1981-01-01,0.13
7184,Atari,1981-01-01,0.22
8459,Atari,1981-01-01,0.17
4784,Atari,1981-01-01,0.4
7904,Atari,1981-01-01,0.19
4015,Atari,1981-01-01,0.5
1848,Atari,1981-01-01,1.1
1153,Atari,1981-01-01,1.6
1106,Atari,1981-01-01,1.65
3044,Atari,1981-01-01,0.67
5564,Atari,1981-01-01,0.33
2143,Atari,1981-01-01,0.97
5381,Atari,1982-01-01,0.34
1851,Atari,1982-01-01,1.1
3748,Atari,1982-01-01,0.54
5064,Atari,1982-01-01,0.38
3447,Atari,1982-01-01,0.58
4016,Atari,1982-01-01,0.5
1905,Atari,1982-01-01,1.08
89,Atari,1982-01-01,7.81
2660,Atari,1982-01-01,0.77
2406,Atari,1982-01-01,0.87
3215,Atari,1982-01-01,0.63
4894,Atari,1982-01-01,0.39
2843,Atari,1982-01-01,0.72
1115,Atari,1982-01-01,1.64
3266,Atari,1982-01-01,0.62
3248,Atari,1982-01-01,0.62
6265,Atari,1982-01-01,0.27
5773,Atari,1982-01-01,0.31
4013,Atari,1982-01-01,0.5
2629,Atari,1982-01-01,0.78
9106,Atari,1982-01-01,0.14
8458,Atari,1982-01-01,0.17
4801,Atari,1982-01-01,0.4
7149,Atari,1982-01-01,0.22
3079,Atari,1982-01-01,0.66
6145,Atari,1982-01-01,0.28
1163,Atari,1982-01-01,1.59
1817,Atari,1982-01-01,1.12
5395,Atari,1982-01-01,0.34
3966,Atari,1982-01-01,0.5
3643,Atari,1982-01-01,0.55
8758,Atari,1982-01-01,0.15
5658,Atari,1982-01-01,0.32
1705,Atari,1982-01-01,1.18
6728,Atari,1982-01-01,0.25
3716,Atari,1982-01-01,0.54
5382,Atari,1983-01-01,0.34
1809,Nintendo,1983-01-01,1.13
8457,Atari,1983-01-01,0.17
5559,Atari,1983-01-01,0.33
763,Nintendo,1983-01-01,2.14
4267,Atari,1983-01-01,0.46
421,Nintendo,1983-01-01,3.2
1839,Nintendo,1983-01-01,1.11
700,Nintendo,1983-01-01,2.28
2672,Atari,1983-01-01,0.77
1508,Atari,1983-01-01,1.31
6007,Atari,1983-01-01,0.29
4096,Atari,1983-01-01,0.48
4780,Atari,1983-01-01,0.4
3953,Atari,1983-01-01,0.5
2652,Atari,1983-01-01,0.78
1861,Nintendo,1983-01-01,1.1
754,Nintendo,1984-01-01,2.17
1857,Nintendo,1984-01-01,1.1
277,Nintendo,1984-01-01,4.16
1638,Nintendo,1984-01-01,1.22
6296,Atari,1984-01-01,0.27
1560,Nintendo,1984-01-01,1.27
298,Nintendo,1984-01-01,4.01
2513,Nintendo,1984-01-01,0.82
9,Nintendo,1984-01-01,28.31
1233,Nintendo,1984-01-01,1.52
938,Nintendo,1984-01-01,1.85
2955,Nintendo,1984-01-01,0.69
1234,Nintendo,1984-01-01,1.52
1324,Nintendo,1984-01-01,1.45
1973,Nintendo,1985-01-01,1.05
868,Nintendo,1985-01-01,1.96
2259,Nintendo,1985-01-01,0.92
1490,Nintendo,1985-01-01,1.32
3907,Nintendo,1985-01-01,0.51
1,Nintendo,1985-01-01,40.24
374,Nintendo,1985-01-01,3.5
2020,Nintendo,1985-01-01,1.03
14335,PC,1985-01-01,0.03
1260,Nintendo,1985-01-01,1.5
4337,Atari,1985-01-01,0.45
15867,Nintendo,1985-01-01,0.02
2059,Nintendo,1985-01-01,1.0
4727,Nintendo,1985-01-01,0.41
5956,Atari,1986-01-01,0.29
548,Nintendo,1986-01-01,2.73
611,Nintendo,1986-01-01,2.52
1623,Nintendo,1986-01-01,1.23
573,Nintendo,1986-01-01,2.65
737,Nintendo,1986-01-01,2.2
5082,Atari,1986-01-01,0.37
1791,Nintendo,1986-01-01,1.14
452,Nintendo,1986-01-01,3.08
1262,Nintendo,1986-01-01,1.5
1117,Nintendo,1986-01-01,1.64
1772,Nintendo,1986-01-01,1.15
867,Nintendo,1986-01-01,1.96
127,Nintendo,1986-01-01,6.51
1675,Nintendo,1986-01-01,1.2
992,Nintendo,1986-01-01,1.76
1676,Nintendo,1986-01-01,1.2
1427,Nintendo,1986-01-01,1.36
1971,Nintendo,1986-01-01,1.05
2158,Nintendo,1986-01-01,0.96
3532,Nintendo,1986-01-01,0.57
251,Nintendo,1987-01-01,4.38
602,Nintendo,1987-01-01,2.56
2466,Nintendo,1987-01-01,0.84
1588,Nintendo,1987-01-01,1.25
2547,Nintendo,1987-01-01,0.81
6583,Atari,1987-01-01,0.26
465,Nintendo,1987-01-01,3.02
11716,Atari,1987-01-01,0.08
2234,Nintendo,1987-01-01,0.93
647,Nintendo,1987-01-01,2.4
11749,Atari,1987-01-01,0.07
3118,Atari,1987-01-01,0.65
4393,Atari,1987-01-01,0.45
759,Nintendo,1987-01-01,2.15
1361,Nintendo,1987-01-01,1.42
4194,Atari,1987-01-01,0.47
764,Nintendo,1988-01-01,2.14
22,Nintendo,1988-01-01,17.28
1187,Nintendo,1988-01-01,1.56
155,Nintendo,1988-01-01,5.58
96,Nintendo,1988-01-01,7.46
1350,Nintendo,1988-01-01,1.43
6939,Atari,1988-01-01,0.24
1587,Nintendo,1988-01-01,1.25
1246,Nintendo,1988-01-01,1.51
14507,PC,1988-01-01,0.03
638,Nintendo,1988-01-01,2.42
312,Nintendo,1988-01-01,3.87
1708,Nintendo,1988-01-01,1.18
3940,Atari,1988-01-01,0.51
2704,Nintendo,1988-01-01,0.76
775,Nintendo,1989-01-01,2.12
5,Nintendo,1989-01-01,30.26
1859,Nintendo,1989-01-01,1.1
880,Nintendo,1989-01-01,1.94
1858,Nintendo,1989-01-01,1.1
1678,Nintendo,1989-01-01,1.2
852,Nintendo,1989-01-01,1.99
8757,Atari,1989-01-01,0.15
12636,Nintendo,1989-01-01,0.06
170,Nintendo,1989-01-01,5.34
276,Nintendo,1989-01-01,4.17
21,Nintendo,1989-01-01,18.14
4147,Atari,1989-01-01,0.47
1142,Nintendo,1989-01-01,1.61
1542,Nintendo,1989-01-01,1.28
2439,Nintendo,1989-01-01,0.85
1089,Nintendo,1989-01-01,1.67
446,Nintendo,1990-01-01,3.12
1770,Nintendo,1990-01-01,1.15
1278,Nintendo,1990-01-01,1.48
1726,Nintendo,1990-01-01,1.17
1385,Nintendo,1990-01-01,1.4
5493,Nintendo,1990-01-01,0.33
509,Nintendo,1990-01-01,2.85
215,Nintendo,1990-01-01,4.85
391,Nintendo,1990-01-01,3.41
5862,Nintendo,1990-01-01,0.3
1792,Nintendo,1990-01-01,1.14
18,Nintendo,1990-01-01,20.61
1190,Nintendo,1990-01-01,1.56
588,SEGA,1990-01-01,2.6
722,Nintendo,1990-01-01,2.23
1695,Nintendo,1990-01-01,1.19
5541,Nintendo,1991-01-01,0.33
6155,Nintendo,1991-01-01,0.28
11980,Nintendo,1991-01-01,0.07
6623,Nintendo,1991-01-01,0.25
8834,Nintendo,1991-01-01,0.15
5517,Nintendo,1991-01-01,0.33
254,SEGA,1991-01-01,4.34
12670,Nintendo,1991-01-01,0.06
8575,Nintendo,1991-01-01,0.16
1108,Nintendo,1991-01-01,1.65
1794,Nintendo,1991-01-01,1.14
13018,Nintendo,1991-01-01,0.05
6053,Nintendo,1991-01-01,0.29
4583,Nintendo,1991-01-01,0.42
231,Nintendo,1991-01-01,4.61
4097,Nintendo,1991-01-01,0.48
8037,Nintendo,1991-01-01,0.18
5033,Nintendo,1991-01-01,0.38
8085,Nintendo,1991-01-01,0.18
1008,Nintendo,1991-01-01,1.75
7094,Nintendo,1991-01-01,0.23
4451,Nintendo,1991-01-01,0.44
2233,Nintendo,1991-01-01,0.93
7688,Nintendo,1991-01-01,0.2
2727,Nintendo,1991-01-01,0.76
4981,Nintendo,1991-01-01,0.38
9958,Nintendo,1991-01-01,0.12
11330,Nintendo,1991-01-01,0.08
983,Nintendo,1991-01-01,1.77
3204,Nintendo,1991-01-01,0.63
2061,Nintendo,1991-01-01,1.0
6165,Nintendo,1991-01-01,0.28
5651,Nintendo,1991-01-01,0.32
987,Nintendo,1991-01-01,1.76
855,Nintendo,1991-01-01,1.98
1394,Nintendo,1991-01-01,1.39
6164,Nintendo,1991-01-01,0.28
4944,Nintendo,1991-01-01,0.39
2798,Nintendo,1991-01-01,0.73
6161,Nintendo,1991-01-01,0.28
1716,Nintendo,1991-01-01,1.18
6088,Nintendo,1992-01-01,0.29
12062,Nintendo,1992-01-01,0.07
743,Nintendo,1992-01-01,2.19
765,PC,1992-01-01,2.14
318,Nintendo,1992-01-01,3.83
9796,SEGA,1992-01-01,0.12
8529,Nintendo,1992-01-01,0.16
827,SEGA,1992-01-01,2.05
4952,Nintendo,1992-01-01,0.39
1827,Nintendo,1992-01-01,1.12
6226,Nintendo,1992-01-01,0.28
9442,Nintendo,1992-01-01,0.13
12526,PC,1992-01-01,0.06
3544,Nintendo,1992-01-01,0.57
531,Nintendo,1992-01-01,2.79
545,Nintendo,1992-01-01,2.75
1657,Nintendo,1992-01-01,1.21
11985,Nintendo,1992-01-01,0.07
3481,Nintendo,1992-01-01,0.58
1099,SEGA,1992-01-01,1.66
1608,Nintendo,1992-01-01,1.24
629,Nintendo,1992-01-01,2.45
14599,PC,1992-01-01,0.03
9561,SEGA,1992-01-01,0.13
2633,PC,1992-01-01,0.78
1076,Nintendo,1992-01-01,1.68
13525,SEGA,1992-01-01,0.04
4240,Nintendo,1992-01-01,0.46
6198,Nintendo,1992-01-01,0.28
2610,Nintendo,1992-01-01,0.79
12700,Nintendo,1992-01-01,0.06
564,SEGA,1992-01-01,2.67
7185,Nintendo,1992-01-01,0.22
285,Nintendo,1992-01-01,4.1
8617,Nintendo,1992-01-01,0.16
2142,Nintendo,1992-01-01,0.97
7065,Nintendo,1992-01-01,0.23
136,Nintendo,1992-01-01,6.3
143,SEGA,1992-01-01,6.03
16073,PC,1992-01-01,0.01
191,Nintendo,1992-01-01,5.13
50,Nintendo,1992-01-01,11.18
76,Nintendo,1992-01-01,8.76
1777,Nintendo,1993-01-01,1.15
3236,Nintendo,1993-01-01,0.62
9461,Nintendo,1993-01-01,0.13
12945,SEGA,1993-01-01,0.05
11127,Nintendo,1993-01-01,0.09
1674,Nintendo,1993-01-01,1.2
12084,NEOGEO,1993-01-01,0.07
5666,Nintendo,1993-01-01,0.32
3844,Nintendo,1993-01-01,0.52
8424,Nintendo,1993-01-01,0.17
5799,Nintendo,1993-01-01,0.31
2651,Nintendo,1993-01-01,0.78
8067,Nintendo,1993-01-01,0.18
2956,Nintendo,1993-01-01,0.69
4041,Nintendo,1993-01-01,0.49
13147,Nintendo,1993-01-01,0.05
12927,Nintendo,1993-01-01,0.05
12652,Nintendo,1993-01-01,0.06
1325,Nintendo,1993-01-01,1.45
1054,Nintendo,1993-01-01,1.7
4363,Nintendo,1993-01-01,0.45
4242,Nintendo,1993-01-01,0.46
7929,Nintendo,1993-01-01,0.19
5291,Nintendo,1993-01-01,0.35
9929,Nintendo,1993-01-01,0.12
11951,SEGA,1993-01-01,0.07
13311,SEGA,1993-01-01,0.05
2111,Nintendo,1993-01-01,0.98
1751,Nintendo,1993-01-01,1.16
887,Nintendo,1993-01-01,1.93
8908,SEGA,1993-01-01,0.15
9196,NEOGEO,1993-01-01,0.14
1261,SEGA,1993-01-01,1.5
12956,Nintendo,1993-01-01,0.05
6306,Nintendo,1993-01-01,0.27
2795,Nintendo,1993-01-01,0.73
472,Nintendo,1993-01-01,2.99
5174,Nintendo,1993-01-01,0.36
3782,Nintendo,1993-01-01,0.53
7301,Nintendo,1993-01-01,0.22
5204,Nintendo,1993-01-01,0.36
3780,Nintendo,1993-01-01,0.53
3591,Nintendo,1993-01-01,0.56
12231,SEGA,1993-01-01,0.07
948,Nintendo,1993-01-01,1.83
12109,Nintendo,1993-01-01,0.07
2592,Nintendo,1993-01-01,0.8
57,Nintendo,1993-01-01,10.55
16105,Nintendo,1993-01-01,0.01
7769,Nintendo,1993-01-01,0.19
12289,Nintendo,1993-01-01,0.06
2033,Nintendo,1993-01-01,1.02
849,Nintendo,1993-01-01,2.0
1009,Nintendo,1993-01-01,1.75
1729,Nintendo,1993-01-01,1.17
12065,SEGA,1993-01-01,0.07
1010,Nintendo,1993-01-01,1.75
10259,Nintendo,1993-01-01,0.11
10331,Nintendo,1993-01-01,0.11
7910,SEGA,1993-01-01,0.19
11670,Nintendo,1994-01-01,0.08
13716,SEGA,1994-01-01,0.04
12971,SEGA,1994-01-01,0.05
968,Nintendo,1994-01-01,1.79
6002,Nintendo,1994-01-01,0.29
5672,Nintendo,1994-01-01,0.32
71,Nintendo,1994-01-01,9.3
3609,Nintendo,1994-01-01,0.56
11751,SEGA,1994-01-01,0.07
10089,Playstation,1994-01-01,0.11
5101,Playstation,1994-01-01,0.37
12538,SEGA,1994-01-01,0.06
11738,SEGA,1994-01-01,0.07
11087,SEGA,1994-01-01,0.09
14661,Nintendo,1994-01-01,0.03
15999,PC,1994-01-01,0.01
2534,Nintendo,1994-01-01,0.81
2537,Nintendo,1994-01-01,0.81
5217,Nintendo,1994-01-01,0.36
5494,Nintendo,1994-01-01,0.33
1221,Nintendo,1994-01-01,1.53
2938,Nintendo,1994-01-01,0.7
6473,SEGA,1994-01-01,0.26
2550,Nintendo,1994-01-01,0.81
10036,Playstation,1994-01-01,0.11
521,PC,1994-01-01,2.81
13141,Nintendo,1994-01-01,0.05
991,SEGA,1994-01-01,1.76
4388,Playstation,1994-01-01,0.45
3505,Playstation,1994-01-01,0.57
11882,Nintendo,1994-01-01,0.07
4767,Nintendo,1994-01-01,0.41
6368,Nintendo,1994-01-01,0.27
1360,Nintendo,1994-01-01,1.42
8124,SEGA,1994-01-01,0.18
5014,Playstation,1994-01-01,0.38
4522,Nintendo,1994-01-01,0.43
9844,Nintendo,1994-01-01,0.12
14093,SEGA,1994-01-01,0.04
5817,Nintendo,1994-01-01,0.31
1372,SEGA,1994-01-01,1.41
1458,SEGA,1994-01-01,1.34
12263,Playstation,1994-01-01,0.06
13971,SEGA,1994-01-01,0.04
7647,SEGA,1994-01-01,0.2
2289,Nintendo,1994-01-01,0.91
14898,Nintendo,1994-01-01,0.03
14996,Panasonic,1994-01-01,0.02
11439,Playstation,1994-01-01,0.08
10672,Playstation,1994-01-01,0.1
7045,NEOGEO,1994-01-01,0.23
4960,Nintendo,1994-01-01,0.39
5868,SEGA,1994-01-01,0.3
6308,Nintendo,1994-01-01,0.27
806,PC,1994-01-01,2.08
14034,SEGA,1994-01-01,0.04
5881,Nintendo,1994-01-01,0.3
9899,SEGA,1994-01-01,0.12
9985,SEGA,1994-01-01,0.12
13243,SEGA,1994-01-01,0.05
11541,SEGA,1994-01-01,0.08
2906,Nintendo,1994-01-01,0.7
952,SEGA,1994-01-01,1.82
14230,Nintendo,1994-01-01,0.03
14218,Nintendo,1994-01-01,0.03
11640,SEGA,1994-01-01,0.08
2601,Playstation,1994-01-01,0.79
15256,SEGA,1994-01-01,0.02
15255,Nintendo,1994-01-01,0.02
184,Nintendo,1994-01-01,5.19
1567,Playstation,1994-01-01,1.27
5252,Nintendo,1994-01-01,0.36
653,PC,1994-01-01,2.39
6229,SEGA,1994-01-01,0.28
2634,Playstation,1994-01-01,0.78
8639,Nintendo,1994-01-01,0.16
11281,SEGA,1994-01-01,0.08
3435,Nintendo,1994-01-01,0.59
12351,SEGA,1994-01-01,0.06
9919,Nintendo,1994-01-01,0.12
10354,Playstation,1994-01-01,0.11
7535,Nintendo,1994-01-01,0.2
9717,NEOGEO,1994-01-01,0.12
12078,Playstation,1994-01-01,0.07
7553,NEOGEO,1994-01-01,0.2
8100,Nintendo,1994-01-01,0.18
874,PC,1994-01-01,1.95
5115,Nintendo,1994-01-01,0.37
1393,Nintendo,1994-01-01,1.39
9004,SEGA,1994-01-01,0.14
12570,SEGA,1994-01-01,0.06
7962,Nintendo,1994-01-01,0.19
12761,SEGA,1994-01-01,0.06
1841,SEGA,1994-01-01,1.11
6631,SEGA,1994-01-01,0.25
6117,Nintendo,1994-01-01,0.28
6641,Playstation,1994-01-01,0.25
2379,Nintendo,1994-01-01,0.87
13452,SEGA,1994-01-01,0.05
3636,SEGA,1994-01-01,0.55
14416,SEGA,1994-01-01,0.03
10309,Nintendo,1994-01-01,0.11
3812,Nintendo,1994-01-01,0.53
5533,Playstation,1994-01-01,0.33
7947,Playstation,1994-01-01,0.19
5142,Nintendo,1994-01-01,0.37
389,Nintendo,1994-01-01,3.42
4815,Nintendo,1994-01-01,0.4
5166,Nintendo,1994-01-01,0.36
3781,Nintendo,1994-01-01,0.53
305,Nintendo,1994-01-01,3.91
6681,NEOGEO,1994-01-01,0.25
15687,Nintendo,1994-01-01,0.02
4293,Nintendo,1994-01-01,0.46
1923,SEGA,1994-01-01,1.07
11835,Nintendo,1994-01-01,0.07
455,Nintendo,1994-01-01,3.07
5147,Nintendo,1994-01-01,0.37
9014,SEGA,1994-01-01,0.14
353,PC,1994-01-01,3.61
5173,Nintendo,1994-01-01,0.36
670,Nintendo,1995-01-01,2.36
14807,Nintendo,1995-01-01,0.03
13088,Playstation,1995-01-01,0.05
12075,Playstation,1995-01-01,0.07
6399,Playstation,1995-01-01,0.27
14523,Playstation,1995-01-01,0.03
12346,Playstation,1995-01-01,0.06
1521,Nintendo,1995-01-01,1.3
888,SEGA,1995-01-01,1.93
9536,Playstation,1995-01-01,0.13
1840,Playstation,1995-01-01,1.11
13891,Playstation,1995-01-01,0.04
2302,Playstation,1995-01-01,0.9
13255,Nintendo,1995-01-01,0.05
10897,SEGA,1995-01-01,0.09
267,PC,1995-01-01,4.21
688,Nintendo,1995-01-01,2.31
11047,Nintendo,1995-01-01,0.09
7498,NEOGEO,1995-01-01,0.2
12355,Playstation,1995-01-01,0.06
10495,Playstation,1995-01-01,0.1
2890,Playstation,1995-01-01,0.71
2887,Nintendo,1995-01-01,0.71
13802,Playstation,1995-01-01,0.04
5972,SEGA,1995-01-01,0.29
9162,Playstation,1995-01-01,0.14
5745,SEGA,1995-01-01,0.31
12385,Nintendo,1995-01-01,0.06
7464,SEGA,1995-01-01,0.21
5245,Playstation,1995-01-01,0.36
11619,SEGA,1995-01-01,0.08
11254,SEGA,1995-01-01,0.08
8625,Playstation,1995-01-01,0.16
4874,Nintendo,1995-01-01,0.4
9365,Playstation,1995-01-01,0.13
13270,Playstation,1995-01-01,0.05
14787,Playstation,1995-01-01,0.03
9546,Nintendo,1995-01-01,0.13
12635,Panasonic,1995-01-01,0.06
11269,SEGA,1995-01-01,0.08
6413,Nintendo,1995-01-01,0.27
12919,Playstation,1995-01-01,0.05
10352,Playstation,1995-01-01,0.11
5569,Playstation,1995-01-01,0.33
2446,Playstation,1995-01-01,0.85
10905,Playstation,1995-01-01,0.09
3443,Playstation,1995-01-01,0.58
1554,Playstation,1995-01-01,1.27
7512,Nintendo,1995-01-01,0.2
11585,Playstation,1995-01-01,0.08
7021,SEGA,1995-01-01,0.23
10875,Playstation,1995-01-01,0.09
5920,Nintendo,1995-01-01,0.3
10862,Nintendo,1995-01-01,0.09
13458,Playstation,1995-01-01,0.04
10384,SEGA,1995-01-01,0.11
317,Playstation,1995-01-01,3.84
12125,Playstation,1995-01-01,0.07
13222,Playstation,1995-01-01,0.05
13219,Nintendo,1995-01-01,0.05
13218,Nintendo,1995-01-01,0.05
6922,Playstation,1995-01-01,0.24
5842,Playstation,1995-01-01,0.3
10537,Playstation,1995-01-01,0.1
9241,Playstation,1995-01-01,0.14
14512,Nintendo,1995-01-01,0.03
11874,Playstation,1995-01-01,0.07
5828,Nintendo,1995-01-01,0.3
11440,Playstation,1995-01-01,0.08
5854,SEGA,1995-01-01,0.3
14904,Playstation,1995-01-01,0.03
11505,NEOGEO,1995-01-01,0.08
6784,Playstation,1995-01-01,0.24
9256,Playstation,1995-01-01,0.14
9257,SEGA,1995-01-01,0.14
2046,Nintendo,1995-01-01,1.01
10378,Playstation,1995-01-01,0.11
14502,Nintendo,1995-01-01,0.03
3271,Nintendo,1995-01-01,0.62
14927,SEGA,1995-01-01,0.02
4765,Nintendo,1995-01-01,0.41
9765,SEGA,1995-01-01,0.12
8987,Playstation,1995-01-01,0.15
10512,Playstation,1995-01-01,0.1
2068,Playstation,1995-01-01,1.0
8235,Playstation,1995-01-01,0.17
12723,Playstation,1995-01-01,0.06
8980,SEGA,1995-01-01,0.15
8514,Playstation,1995-01-01,0.16
3237,SEGA,1995-01-01,0.62
7920,Playstation,1995-01-01,0.19
7681,Playstation,1995-01-01,0.2
10684,Nintendo,1995-01-01,0.1
10404,Playstation,1995-01-01,0.11
6363,Nintendo,1995-01-01,0.27
12903,Nintendo,1995-01-01,0.05
6803,Playstation,1995-01-01,0.24
11355,Playstation,1995-01-01,0.08
3372,Nintendo,1995-01-01,0.6
5289,Nintendo,1995-01-01,0.35
6260,Nintendo,1995-01-01,0.28
9223,NEC,1995-01-01,0.14
11529,Playstation,1995-01-01,0.08
5009,SEGA,1995-01-01,0.38
12107,SEGA,1995-01-01,0.07
8667,Playstation,1995-01-01,0.16
3352,Playstation,1995-01-01,0.6
10680,SEGA,1995-01-01,0.1
16554,Playstation,1995-01-01,0.01
8564,Nintendo,1995-01-01,0.16
2694,Playstation,1995-01-01,0.76
4205,Nintendo,1995-01-01,0.47
13469,SEGA,1995-01-01,0.04
9207,Playstation,1995-01-01,0.14
13235,SEGA,1995-01-01,0.05
282,Nintendo,1995-01-01,4.12
5908,Nintendo,1995-01-01,0.3
11528,Playstation,1995-01-01,0.08
2376,Playstation,1995-01-01,0.87
13837,SEGA,1995-01-01,0.04
4634,Nintendo,1995-01-01,0.42
12792,SEGA,1995-01-01,0.06
426,Nintendo,1995-01-01,3.19
1188,Playstation,1995-01-01,1.56
10142,SEGA,1995-01-01,0.11
422,Nintendo,1995-01-01,3.2
3985,Playstation,1995-01-01,0.5
13545,Nintendo,1995-01-01,0.04
12799,Playstation,1995-01-01,0.06
14691,SEGA,1995-01-01,0.03
415,Playstation,1995-01-01,3.24
8392,Playstation,1995-01-01,0.17
4373,Playstation,1995-01-01,0.45
5048,Nintendo,1995-01-01,0.38
4379,Playstation,1995-01-01,0.45
11794,Playstation,1995-01-01,0.07
10746,Nintendo,1995-01-01,0.1
7385,Nintendo,1995-01-01,0.21
10416,Playstation,1995-01-01,0.11
12760,Nintendo,1995-01-01,0.06
12592,SEGA,1995-01-01,0.06
1934,Playstation,1995-01-01,1.07
9640,SEGA,1995-01-01,0.13
7837,SEGA,1995-01-01,0.19
11677,SEGA,1995-01-01,0.08
3520,Playstation,1995-01-01,0.57
10970,Playstation,1995-01-01,0.09
10004,SEGA,1995-01-01,0.11
4670,SEGA,1995-01-01,0.42
3678,Playstation,1995-01-01,0.55
10336,Playstation,1995-01-01,0.11
10588,SEGA,1995-01-01,0.1
15479,Panasonic,1995-01-01,0.02
7294,SEGA,1995-01-01,0.22
1753,SEGA,1995-01-01,1.16
15553,NEOGEO,1995-01-01,0.02
9605,Playstation,1995-01-01,0.13
462,Playstation,1995-01-01,3.03
4160,Nintendo,1995-01-01,0.47
4322,Nintendo,1995-01-01,0.45
15535,NEC,1995-01-01,0.02
8852,SEGA,1995-01-01,0.15
5640,Playstation,1995-01-01,0.32
14337,SEGA,1995-01-01,0.03
5116,SEGA,1995-01-01,0.37
11059,SEGA,1995-01-01,0.09
4821,SEGA,1995-01-01,0.4
5645,SEGA,1995-01-01,0.32
13704,Playstation,1995-01-01,0.04
13331,Playstation,1995-01-01,0.05
11063,Playstation,1995-01-01,0.09
15975,PC,1995-01-01,0.02
11740,Playstation,1995-01-01,0.07
12585,Playstation,1995-01-01,0.06
4699,SEGA,1995-01-01,0.41
5393,SEGA,1995-01-01,0.34
4303,Playstation,1995-01-01,0.46
13121,Nintendo,1995-01-01,0.05
6139,SEGA,1995-01-01,0.28
5632,Nintendo,1995-01-01,0.32
6714,Playstation,1995-01-01,0.25
1771,Nintendo,1995-01-01,1.15
4074,Nintendo,1995-01-01,0.49
9460,Playstation,1995-01-01,0.13
2353,Nintendo,1995-01-01,0.89
11675,Playstation,1995-01-01,0.08
10420,Nintendo,1995-01-01,0.1
15314,Playstation,1995-01-01,0.02
5714,Nintendo,1995-01-01,0.31
8352,Playstation,1995-01-01,0.17
9669,SEGA,1995-01-01,0.12
13089,SEGA,1995-01-01,0.05
13735,Nintendo,1995-01-01,0.04
14741,SEGA,1995-01-01,0.03
5707,Playstation,1995-01-01,0.31
4855,Nintendo,1995-01-01,0.4
9978,Playstation,1995-01-01,0.12
13169,SEGA,1995-01-01,0.05
8460,SEGA,1995-01-01,0.17
8875,Nintendo,1995-01-01,0.15
950,Playstation,1995-01-01,1.83
12439,SEGA,1995-01-01,0.06
14756,Playstation,1995-01-01,0.03
14226,Playstation,1995-01-01,0.03
6115,Nintendo,1995-01-01,0.28
6192,Nintendo,1995-01-01,0.28
6196,Playstation,1995-01-01,0.28
11237,Playstation,1995-01-01,0.09
11812,SEGA,1995-01-01,0.07
7102,Playstation,1995-01-01,0.23
14566,Nintendo,1995-01-01,0.03
9468,Playstation,1995-01-01,0.13
7952,SEGA,1995-01-01,0.19
4165,Playstation,1995-01-01,0.47
187,Nintendo,1995-01-01,5.15
5372,SEGA,1995-01-01,0.34
13722,Nintendo,1995-01-01,0.04
10408,Nintendo,1995-01-01,0.11
14429,NEOGEO,1995-01-01,0.03
1020,Nintendo,1996-01-01,1.74
6076,Playstation,1996-01-01,0.29
14216,Playstation,1996-01-01,0.03
1159,PC,1996-01-01,1.59
9309,Playstation,1996-01-01,0.14
1216,Playstation,1996-01-01,1.54
11769,Playstation,1996-01-01,0.07
7046,Playstation,1996-01-01,0.23
7877,Playstation,1996-01-01,0.19
14356,Nintendo,1996-01-01,0.03
12060,Playstation,1996-01-01,0.07
3015,Playstation,1996-01-01,0.67
5904,SEGA,1996-01-01,0.3
16226,Playstation,1996-01-01,0.01
2269,Playstation,1996-01-01,0.92
4716,Playstation,1996-01-01,0.41
3275,Nintendo,1996-01-01,0.62
14779,Playstation,1996-01-01,0.03
13171,Playstation,1996-01-01,0.05
4711,SEGA,1996-01-01,0.41
1161,Playstation,1996-01-01,1.59
9693,SEGA,1996-01-01,0.12
9751,SEGA,1996-01-01,0.12
11638,Nintendo,1996-01-01,0.08
8697,Playstation,1996-01-01,0.16
